size,Torch,Triton
4096.000000,9.540372,9.600000
8192.000000,19.200000,19.200000
16384.000000,31.999999,31.999999
32768.000000,54.857142,54.857142
65536.000000,85.333330,85.333330
131072.000000,118.153847,110.206280
262144.000000,146.285715,139.636363
524288.000000,157.538467,157.538467
1048576.000000,168.328760,168.328760
2097152.000000,174.297876,174.297876
4194304.000000,177.444035,178.086953
8388608.000000,180.043948,179.714817
16777216.000000,180.374306,180.872123
33554432.000000,179.752039,178.978601
67108864.000000,174.278559,174.220650
134217728.000000,176.607225,176.132596
